company_id,company_name,sector,annual_revenue,ebitda,total_debt,total_equity,current_assets,current_liabilities,interest_expense,cash_flow,employee_count,credit_score,fraud_flag,hidden_liability,bankruptcy_risk
CMP0042,Walker and Sons,Healthcare,10100024,3209909.18,10397026.72,3337648.84,3510312.43,1113369.76,550482.79,2280285.88,432,502,0,0,High
CMP0043,Rhodes PLC,Energy,76685625,9707105.19,29807379.58,47957707.71,36169430.49,29325555.33,2823679.99,18949695.4,3013,753,1,0,Low
CMP0044,Glover Group,Manufacturing,6867456,1253675.32,1274745.23,1337161.62,2084282.87,565736.11,146297.17,231076.37,3097,703,1,0,Low
CMP0045,Ayala-Hall,Energy,8986331,1195535.77,5118080.02,2132847.48,2314139.63,458801.06,360546.91,1853215.19,9227,676,0,1,Medium
CMP0046,Brown-Brown,Energy,81951591,6386799.75,61168761.18,38002831.03,37482881.62,19360612.9,3536808.73,-3542102.86,163,606,0,0,Medium
CMP0047,"Alexander, Tanner and Nelson",Manufacturing,4381327,1217252.93,3248564.11,2653177.02,1710769.08,736434.42,295777.46,961390.74,7465,797,1,0,Low
CMP0048,Walters-Koch,Technology,41147859,10149947.24,22193734.69,14123852.41,8240427.5,10586506.77,2175548.59,-1306695.55,3758,614,0,1,Medium
CMP0049,"Knapp, Potts and King",Healthcare,48967141,4871659.14,8652640.22,28444445.74,10987966.07,5382950.37,770798.4,-802108.54,1471,799,0,1,Low
CMP0050,"Moore, Johns and Everett",Healthcare,8967671,2772794.93,1371372.68,4371853.0,2060322.82,2430273.56,45734.2,942780.98,7938,725,1,1,Low
CMP0051,"Richardson, Kirby and Marshall",Finance,70398595,15862367.83,47719681.06,14430856.02,30664017.65,23739510.93,1941161.03,8202372.44,5526,341,0,1,High
CMP0052,"Atkinson, Gonzalez and Gonzalez",Technology,27655359,3344112.88,8867930.8,9989748.88,4032471.91,1592522.69,186551.2,1942320.44,973,705,0,1,Low
CMP0053,Green and Sons,Finance,55044116,15860247.04,58960954.09,26117783.44,11128959.67,5954005.47,3595696.1,4856260.32,9087,613,1,0,Medium
CMP0054,Hanson-Jackson,Manufacturing,32450016,1761154.59,33890106.64,3098185.39,5445679.87,9848423.56,1086150.8,3267924.07,7693,520,0,0,High
CMP0055,Luna-Brown,Energy,28628150,6193139.79,23872289.34,19638141.27,6758293.93,2840304.24,722336.0,3851063.38,7697,746,0,0,Low
CMP0056,Peterson-Riggs,Energy,10003744,2458424.11,11267972.2,5314687.03,4336920.27,3222829.53,541157.52,-16735.36,3545,645,1,1,Medium
CMP0057,"Smith, Hamilton and Zuniga",Energy,61865438,3109216.47,61964621.77,5776026.7,13078438.4,15955169.65,5223810.45,-2509268.39,341,454,0,0,High
CMP0058,Randall LLC,Technology,19979591,6396885.99,13939453.08,15416392.12,3991208.66,2911320.65,1480702.12,1774370.32,2654,755,1,0,Low
CMP0059,"Brown, Adams and Hall",Technology,68727156,8197591.9,30089381.85,10154422.11,14298064.81,6507578.1,2594065.06,15745032.78,7713,637,0,0,Medium
CMP0060,Jennings LLC,Healthcare,55449929,2946398.04,51674060.76,27113160.71,23596340.76,3774172.06,5262099.74,7434277.75,8929,583,1,1,Medium
CMP0061,Moses-Mullins,Healthcare,21555655,6030433.14,13536879.14,2011494.36,10576041.65,2683438.02,1565523.7,4856692.57,7769,537,0,0,High
CMP0062,"Ray, Williams and Johnston",Healthcare,29776588,5401479.54,17135600.29,21225935.17,4051406.93,4622402.94,556058.11,5463531.76,8098,772,0,1,Low
CMP0063,Armstrong-Franklin,Energy,63275007,7794517.31,66245007.72,16267531.59,18036742.02,12736692.77,6004598.49,-705203.15,2736,462,0,0,High
CMP0064,"Miller, Maxwell and West",Finance,58489136,20111969.73,13858380.05,31589718.73,17746059.48,3006997.31,804492.15,11190527.38,174,723,0,1,Low
CMP0065,Evans-Kaiser,Energy,90045739,8560175.63,93375925.04,58808088.97,28937770.23,23172608.67,2274237.35,9632720.89,3987,566,0,0,Medium
CMP0066,Salazar-Murphy,Finance,93136605,20934655.05,32854789.64,28581296.61,37731358.88,34726406.1,1426273.38,-1820991.74,1221,774,1,1,Low
CMP0067,Newman-Harding,Technology,81072855,18736849.16,65467692.4,55062045.51,17458726.29,31377679.79,5598709.1,17775793.22,5933,743,1,0,Low
CMP0068,"Barnett, Lee and Sanders",Retail,66278532,22986482.58,9238992.7,5930347.97,19348536.77,9440297.36,806861.66,-2395663.23,615,646,1,0,Medium
CMP0069,Wyatt Inc,Energy,7650645,2465302.76,6876437.77,4462488.52,2896482.34,2073912.0,293633.22,241101.08,231,688,0,1,Medium
CMP0070,Villanueva and Sons,Retail,83998178,8969463.31,16893030.76,50486328.2,34985859.08,29220277.05,1578047.24,2990760.24,3321,703,1,0,Low
CMP0071,"Wilson, Chung and Le",Retail,23452724,6881311.02,27260763.9,16531631.62,10270712.4,5757060.8,2982834.49,1949707.2,1257,628,0,0,Medium
CMP0072,Martin PLC,Energy,42602409,4476380.52,48910640.52,4112689.33,10594541.76,12879629.24,4130012.01,10577474.06,2510,376,0,0,High
CMP0073,Miller-Vasquez,Healthcare,25615242,5223130.35,19848223.49,20474762.47,2878367.1,2716685.07,972426.83,4040127.84,1414,793,0,0,Low
CMP0074,Mitchell PLC,Healthcare,86824267,6861132.89,35789634.02,38621935.41,15186407.47,13829848.2,2146211.21,14443222.59,2681,785,1,0,Low
CMP0075,Gonzalez-Taylor,Finance,41149655,6789465.36,39062374.34,21120200.69,17886342.01,9743960.44,3414621.37,6687924.3,3037,700,0,0,Medium
CMP0076,Johnson and Sons,Retail,31153018,8062476.48,4112582.44,22838269.24,4546566.44,11400223.11,257172.91,478144.38,730,784,0,0,Low
CMP0077,"Gilmore, Johnson and Lyons",Technology,3694653,267726.06,1703850.71,1891191.56,457828.49,214294.98,108429.32,641393.89,1350,812,1,0,Low
CMP0078,Morgan-Harris,Technology,4346318,1361760.6,2962159.21,2027274.55,506206.69,448405.79,174998.32,968830.28,3001,777,0,1,Low
CMP0079,Griffin and Sons,Manufacturing,46159203,5425711.7,18613009.26,30596176.8,19487681.73,10907236.63,2048165.01,6294753.08,9831,823,0,0,Low
CMP0080,Mendoza-Wilson,Manufacturing,65743261,15448189.44,35591030.93,15364729.23,28798133.2,14662294.62,3343469.58,5560815.93,4002,680,0,0,Medium
CMP0081,Johnston-Brown,Finance,65056842,18362324.91,73500776.19,48540668.95,26457637.38,19985019.64,4877653.01,1591474.34,2585,584,0,0,Medium
CMP0082,Potts PLC,Technology,19242801,4075205.76,22539486.33,4326358.46,8335390.76,7534804.7,1223266.06,3741439.67,4026,401,1,0,High
CMP0083,Marsh-Alexander,Finance,79078318,14793089.74,82605241.42,8356378.12,13975410.66,17076799.46,6361526.23,9045635.73,1145,418,0,0,High
CMP0084,Daniels LLC,Technology,45721739,14574791.21,50281041.18,15130470.25,10074615.25,6226453.84,1661083.97,3969947.88,8102,437,0,1,High
CMP0085,Evans PLC,Manufacturing,30835452,7417044.35,8184657.95,20015298.49,3818555.63,1765742.94,298357.65,5525113.87,6848,744,1,1,Low
CMP0086,"Grant, Cooper and Ray",Manufacturing,82178398,6219463.81,58379327.22,8855034.14,34051334.73,6888286.49,4385972.35,11637829.94,2639,427,0,0,High
CMP0087,"Carson, Tanner and Moore",Healthcare,75007138,19155319.63,74186010.37,22520294.4,29245532.88,14463505.59,2067312.29,1661979.92,7004,352,0,0,High
CMP0088,Valentine PLC,Retail,34588045,11016140.77,26997391.07,23644228.94,5740673.04,12209510.16,3034073.38,2025439.07,870,770,0,0,Low
CMP0089,"Lee, Moran and Davis",Energy,29281113,1835456.32,23712480.12,23372299.34,10804187.45,5396699.78,1764171.44,6838826.42,678,843,0,1,Low
CMP0090,Gould PLC,Healthcare,25925105,6662866.27,26423328.58,3634413.22,10612086.73,5305416.44,2958874.41,6035702.53,9844,479,0,1,High
CMP0091,Melendez and Sons,Energy,1935385,440261.82,2315105.95,1389130.43,258689.2,575875.87,60081.62,-52892.19,1428,649,0,0,Medium
CMP0092,"Vazquez, Fleming and Craig",Technology,66270093,10838328.95,19762162.45,21064821.11,28290810.49,16728842.99,1567114.53,15028554.28,8712,770,0,0,Low
CMP0093,"Erickson, Jones and Robertson",Energy,20875455,6947246.06,11576522.16,9510321.39,9454750.8,4355078.82,941934.44,541906.59,405,849,1,1,Low
CMP0094,Pacheco-Middleton,Energy,61798272,3743475.92,71543236.01,36070152.97,8758818.46,24506133.81,8242123.82,-338203.92,7348,692,0,0,Medium
CMP0095,Johnston-Dixon,Technology,83937676,9763236.36,81239721.35,42271712.5,19473768.26,22652952.47,5136850.93,14308099.09,4111,656,1,1,Medium
CMP0096,Brown PLC,Finance,40976492,12994706.13,15175516.56,3057667.8,15224982.45,13465734.77,1246850.4,4110543.39,2862,409,1,1,High
CMP0097,"Phillips, Perez and Klein",Retail,11486426,2186870.32,5526985.53,1206128.74,5216761.9,1279121.66,124613.57,-567156.75,9969,431,1,1,High
CMP0098,Ellis-Morris,Retail,49330958,8889261.08,25678291.38,18108023.29,8405392.9,4454133.06,2720895.09,9147713.07,1349,786,0,0,Low
CMP0099,"Dunlap, Cook and Greer",Finance,45681068,11707222.74,4817404.59,17234229.6,4702014.33,3782210.7,201604.28,6463391.97,98,801,0,1,Low
CMP0100,"Simpson, Gibson and Mclean",Healthcare,49340098,4967610.14,25217772.86,5264904.52,5995167.82,15217069.49,2725866.3,1417354.11,900,330,0,0,High
CMP0101,Smith Inc,Energy,67820931,23600207.12,71413930.86,43640490.93,9281916.99,4332938.29,5772067.37,16140832.01,7207,592,1,1,Medium
CMP0102,"Brooks, Thomas and Love",Retail,68036641,17011956.39,25190474.23,51775484.43,26746367.5,4784972.65,620202.89,11416000.39,1170,794,0,1,Low
CMP0103,"Hansen, Evans and Berry",Manufacturing,8521953,2966934.21,2974286.96,540306.68,920264.68,1806478.01,78194.54,804712.35,6785,374,1,0,High
CMP0104,Jenkins LLC,Retail,44157215,10307610.14,13979444.23,15638570.25,14050778.37,8438583.26,1053994.34,-85584.43,4157,842,0,0,Low
CMP0105,Gonzales and Sons,Energy,58173825,6172256.48,63415292.43,39562734.9,7382300.99,14821925.55,3151759.19,10453172.18,6700,680,0,0,Medium
CMP0106,"Young, Rodriguez and Jackson",Manufacturing,88012115,22601802.58,22824643.31,22000190.97,36794320.91,33315869.0,604530.16,14737571.42,3687,817,1,0,Low
CMP0107,"Schneider, Moss and Lewis",Retail,37474377,3185770.82,42350744.24,23374080.6,4996590.03,6270464.11,1620144.22,6782680.66,7029,560,1,1,Medium
CMP0108,Hopkins-Orozco,Energy,45916573,7418477.0,49815293.49,29699832.84,15389482.19,13604675.52,4559240.1,2631766.26,9930,602,1,0,Medium
CMP0109,Jefferson LLC,Technology,76228501,9717730.58,75182935.4,19606156.75,17275815.94,6250364.86,1929033.92,-1889036.72,9498,472,0,0,High
CMP0110,Martinez and Sons,Finance,20607824,2045633.93,6072731.75,9561305.13,2125081.3,5918126.22,719041.19,1918272.51,9753,741,0,0,Low
CMP0111,"Johnson, Wilkinson and Haas",Technology,31975555,6060993.17,15906784.05,12970194.34,15035878.41,1858398.92,1815145.0,3076179.43,6033,845,1,0,Low
CMP0112,Morrow and Sons,Finance,43541907,2532408.2,30853258.8,19264881.86,14882214.78,16622490.16,1737501.26,9016174.12,7962,616,1,1,Medium
CMP0113,Fields Ltd,Finance,53203718,2987558.29,44575173.08,7962469.82,11915447.13,12433722.17,3415046.29,10767423.34,4906,325,1,1,High
CMP0114,Calderon-Hawkins,Energy,84942100,17293515.05,100944321.95,35804474.52,25158730.95,15358101.66,11038270.02,7644875.6,761,675,0,0,Medium
CMP0115,Santiago-Hobbs,Technology,47187052,10907464.32,55558219.86,11702907.44,13672613.93,18806610.17,2615440.61,1509109.28,6324,349,0,0,High
CMP0116,Rodriguez-Price,Healthcare,93595241,20980408.42,101832084.89,65133386.71,16974924.28,23232955.31,6394871.47,7635804.06,2808,588,0,0,Medium
CMP0117,Jones and Sons,Manufacturing,96672605,5079761.01,68267845.16,8125775.18,30660345.79,10505250.03,7340976.89,2013749.17,5234,478,0,1,High
CMP0118,"Lewis, Lewis and Hall",Finance,20761397,6524068.1,8273837.08,3214489.61,7131469.95,1708702.83,300216.46,1540007.98,4324,587,1,0,Medium
CMP0119,"Russell, Moran and Walsh",Finance,44818555,9400107.93,21883265.58,32615446.02,15677790.71,13762260.73,1013609.48,8740640.98,7595,846,0,0,Low
CMP0120,Young-Richardson,Healthcare,31628962,2753910.74,33276120.59,17527413.23,4574896.72,4399566.58,785811.04,6451765.06,6153,653,0,1,Medium
CMP0121,"Wood, Moses and Bruce",Finance,89422199,19775243.99,51306004.06,49458864.28,14312204.9,13197688.73,5604308.56,16410604.43,4997,794,1,0,Low
CMP0122,"Hill, Huang and Perkins",Manufacturing,96287427,10276459.51,114615351.62,34932576.4,47418763.89,25788824.09,8876496.29,13143645.01,7476,307,1,1,High
CMP0123,"Jones, Palmer and Hernandez",Healthcare,97074777,14630010.65,96371612.22,9396730.53,26563894.0,14474351.14,3643653.46,843763.55,1910,402,0,0,High
CMP0124,Edwards-Evans,Manufacturing,94807111,16263341.46,48753530.45,14913442.07,21543367.31,9540980.31,2754950.8,3935200.11,9307,411,1,0,High
CMP0125,Collins-Olsen,Finance,36911851,7896191.95,19237888.76,7501711.92,11001291.6,11155324.25,1229416.77,7216319.9,9198,628,1,1,Medium
CMP0126,"Miller, Chavez and White",Technology,16552129,5543464.9,17204927.99,5588946.84,7917282.95,4435058.2,1084569.41,1109172.62,7537,463,1,1,High
CMP0127,"Palmer, Short and Camacho",Healthcare,10600851,2582834.18,11743384.39,5305754.91,2254646.24,1090762.48,519886.78,123374.86,8545,582,0,1,Medium
CMP0128,Petersen and Sons,Retail,45162434,5236218.62,33427687.42,28624954.25,20849853.54,14753406.84,2074118.15,-188043.6,8395,842,1,0,Low
CMP0129,Wilkerson-Perez,Retail,26363464,5445487.49,18306508.63,9065106.09,11484060.66,7654494.95,1537016.64,-755956.26,3862,559,1,1,Medium
CMP0130,Henry Group,Manufacturing,40383525,8672587.64,14938878.44,13099592.41,7782202.16,15769130.44,1089780.26,5815419.9,8428,776,1,1,Low
CMP0131,Ryan PLC,Healthcare,63548326,6354075.17,43199795.55,45195284.34,30082778.46,9987169.68,3444942.45,12355454.34,4504,796,0,0,Low
CMP0132,Young-Watson,Healthcare,35595352,3328560.98,7122684.39,16082115.14,7176241.58,9706829.0,590594.95,954046.62,6494,789,1,0,Low
CMP0133,Robertson and Sons,Healthcare,40710290,6744907.43,10720711.35,32554401.58,12282100.84,10989843.5,910083.55,1332644.36,2448,807,1,0,Low
CMP0134,Hughes-Dawson,Retail,15406257,1865027.89,13391355.88,8146758.12,3950006.64,2896374.89,311604.99,965716.61,5669,691,1,1,Medium
CMP0135,"Macias, Holmes and Valenzuela",Finance,2607177,190712.18,3018171.05,449388.18,1197291.72,521873.43,144903.56,415082.82,5430,484,0,0,High
CMP0136,Palmer Ltd,Energy,54931923,18164726.22,55630284.14,11638912.45,25678105.75,12108980.49,4313172.91,13602901.89,2183,353,1,0,High
CMP0137,Smith-Simmons,Finance,99178742,6590995.26,16072928.43,12723518.0,41645712.88,11221871.04,1183273.02,6025001.91,1442,747,1,0,Low
CMP0138,Rodriguez and Sons,Manufacturing,39891607,8555121.73,46089462.98,24906578.85,6777200.1,12719968.72,1833099.19,4627769.25,3077,672,0,1,Medium
CMP0139,"Schultz, Coffey and Parker",Healthcare,7482909,1977771.77,6658282.87,2031849.32,1168612.65,886421.74,494202.79,-242952.08,9684,444,0,0,High
CMP0140,Fitzgerald-Martinez,Retail,6840420,533010.07,3172924.36,4112917.93,925533.28,2297270.85,245977.6,1121578.82,932,748,0,0,Low
CMP0141,"Myers, Jones and Rangel",Healthcare,74014691,14448214.0,80825944.87,15694825.31,25821524.96,19764762.6,5898222.38,10333119.01,8401,396,1,1,High
CMP0142,Thompson Inc,Energy,3624006,233466.5,1269204.57,1961931.08,1474618.27,340466.83,119957.97,422462.26,2119,721,0,0,Low
CMP0143,Evans-Brown,Energy,42581459,11180521.52,39122920.22,18450787.33,18552928.05,13732383.71,3593386.14,1220338.78,1822,691,0,0,Medium
CMP0144,Hanson LLC,Technology,64184743,17650507.35,46584912.87,33383078.25,29230928.55,7703155.95,4562512.09,-2593859.15,7491,735,0,0,Low
CMP0145,Carrillo-Molina,Healthcare,97751782,6393048.47,50341458.26,42331317.67,17319649.38,26188630.67,4899178.32,14300090.94,6449,772,1,1,Low
CMP0146,"Nunez, Alexander and Morris",Technology,79766688,16402072.94,76611962.65,20592278.8,26359839.14,6361977.82,5354770.0,6948733.86,1021,426,0,0,High
CMP0147,"Richardson, Young and Martin",Manufacturing,13873374,3970202.72,15058920.51,9745755.43,4241763.93,1331237.02,592547.88,2593042.41,6257,606,0,0,Medium
CMP0148,Dickson-Morris,Healthcare,4719637,1013200.3,2131193.13,1190144.53,970274.27,1808128.76,233538.78,-153451.3,4134,676,1,0,Medium
CMP0149,Williams-Davis,Healthcare,5208342,332649.64,5541087.45,2970956.9,1744378.8,349617.47,595360.57,294948.18,3500,558,1,0,Medium
CMP0150,"Lucas, May and Cooper",Healthcare,81952990,20209068.6,12484460.92,17648770.71,39270125.93,24989722.73,950669.23,18359833.35,2357,716,0,1,Low
CMP0151,Orozco Inc,Technology,63113697,15410497.57,31511855.2,40747523.33,17233540.66,20084059.4,1901247.83,-2963833.3,9775,765,1,1,Low
CMP0152,"Brown, Kelly and Howe",Energy,33827350,10595591.07,22304060.05,10147529.07,11009938.61,7029289.77,2028993.98,-448977.85,2864,613,0,1,Medium
CMP0153,Weaver-Young,Manufacturing,97351034,11332914.72,116809906.83,30146653.56,34393079.18,33539407.19,7712659.31,2826936.92,8149,391,0,1,High
CMP0154,Mccormick Group,Finance,53095645,4189759.17,35291574.57,34412252.27,6070761.42,2883584.25,1998040.53,12910557.95,6672,706,0,0,Low
CMP0155,Rasmussen Ltd,Technology,85809590,20247345.57,51934560.35,67582180.2,25628691.56,10179613.97,3467761.37,5731666.61,3974,762,0,1,Low
CMP0156,Baker Ltd,Manufacturing,51288297,4868047.38,33895558.27,7181222.54,11822701.32,18030918.6,1095369.88,11398348.73,4588,447,1,1,High
CMP0157,"Arnold, Sandoval and Rose",Healthcare,48360152,9978131.22,39387755.7,28650865.28,16327478.58,3549768.52,3460266.66,8865792.63,7919,816,0,0,Low
CMP0158,Kennedy-Garcia,Energy,23619156,5858711.79,13812978.49,16575939.74,6893355.29,1430662.14,453668.41,-803777.06,9898,839,0,0,Low
CMP0159,"Stephens, Sims and Harmon",Manufacturing,22927227,6057885.04,12548106.55,10804313.0,4287247.9,7705757.03,1176966.88,5034984.14,1737,752,1,0,Low
CMP0160,Robinson Ltd,Finance,42865163,12028584.9,47120136.91,8988200.0,11691261.43,11197209.04,2824964.62,407454.57,214,533,1,0,High
CMP0161,Peters-Todd,Finance,83357228,27122747.01,89869360.82,5684591.12,36481336.89,30257522.54,3588044.29,19969578.73,7769,444,0,0,High
CMP0162,Burnett-Costa,Manufacturing,20926107,1471717.09,15244271.22,12579334.56,5275269.9,2727408.54,854093.93,389351.14,9861,750,1,1,Low
CMP0163,Sanders-Ryan,Retail,45160227,12440628.24,38760076.79,5259076.03,7665749.16,8636694.34,2316538.27,5093687.05,8496,375,1,0,High
CMP0164,Mckinney and Sons,Finance,85388535,23485953.34,18141213.71,4601364.08,27986644.29,16376261.55,456728.45,-4201520.38,9190,400,0,0,High
CMP0165,Shaw-Duran,Finance,62149543,16786243.25,58440870.94,18566914.75,13092009.0,11343310.28,4154109.05,15456367.22,6610,308,1,1,High
CMP0166,"Moore, King and Dillon",Energy,48325449,12069805.16,42349692.71,34692963.69,14446885.03,16832439.69,1340843.7,7152630.2,8957,836,0,0,Low
CMP0167,"Johnson, Villanueva and Jordan",Manufacturing,58635341,6071799.3,52673124.43,36971361.59,9636975.27,16700145.66,6178136.32,986303.9,4911,759,1,1,Low
CMP0168,Woods-Rice,Energy,57881855,6984283.07,15040108.26,36529543.65,18407901.9,18197008.18,799355.91,3818772.78,2490,826,1,1,Low
CMP0169,Fischer-Mendoza,Technology,77001450,24648539.29,35900338.45,19721422.38,27978837.0,5933992.61,2385508.35,-2051939.9,6882,629,1,1,Medium
CMP0170,Avery Ltd,Retail,26424834,5892580.5,6423887.31,4101745.77,12537928.08,9620870.06,367199.51,998618.69,4639,637,0,1,Medium
CMP0171,Lane PLC,Healthcare,36513152,12585710.84,5657614.68,6123140.17,10051881.07,3839872.56,500792.32,2405404.56,4299,802,1,0,Low
CMP0172,Wilson-Griffin,Finance,27218196,5118572.19,6978369.91,1675847.78,8753674.61,4987421.52,249142.03,2539446.52,7962,499,1,0,High
CMP0173,"Sanders, Mueller and Williams",Retail,30274279,4447748.09,30008908.0,22962585.98,12167206.3,10577787.89,615616.52,6608483.09,754,780,1,1,Low
CMP0174,"Ross, Johnson and Gilmore",Manufacturing,64863341,7028272.62,11899711.4,18899333.86,21515505.33,21399210.05,911431.46,-3210546.82,2395,733,1,1,Low
CMP0175,"Horton, Campbell and Elliott",Manufacturing,27270951,7550906.58,29182584.12,10514552.66,9912506.6,4161798.51,1695439.8,240051.97,7863,581,0,0,Medium
